Ses01F_impro01_F000	neu	Excuse me.	2.5000	 2.5000	 2.5000
Ses01F_impro01_F001	neu	Yeah.	2.5000	 2.5000	 2.5000
Ses01F_impro01_F002	neu	Is there a problem?	2.5000	 2.5000	 2.5000
Ses01F_impro01_F003	xxx	You did.	2.5000	 3.0000	 3.0000
Ses01F_impro01_F004	xxx	You were standing at the beginning and you directed me.	2.5000	 3.0000	 2.5000
Ses01F_impro01_F005	neu	Well what's the problem?  Let me change it.	2.5000	 3.5000	 2.0000
Ses01F_impro01_F006	fru	What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.	2.0000	 3.5000	 3.5000
Ses01F_impro01_F007	fru	How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?	2.5000	 3.5000	 3.5000
Ses01F_impro01_F008	fru	I'm here to get an ID.	2.0000	 3.5000	 3.5000
Ses01F_impro01_F009	fru	Like what?  Like a birth certificate?	2.0000	 3.5000	 3.0000
Ses01F_impro01_F010	xxx	Who the hell has a birth certificate?	1.5000	 3.5000	 3.5000
Ses01F_impro01_F011	fru	Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?	2.0000	 3.5000	 3.5000
Ses01F_impro01_F012	ang	That's out of control.	2.0000	 3.5000	 3.5000
Ses01F_impro01_F013	fru	How long have you been working here?	2.0000	 4.0000	 3.5000
Ses01F_impro01_F014	neu	Clearly.  You know, do you have like a supervisor or something?	2.5000	 3.5000	 3.5000
Ses01F_impro01_F015	fru	That would - I would appreciate that.  Yeah.	2.0000	 3.5000	 3.0000
Ses01F_impro01_M000	fru	Do you have your forms?	2.5000	 2.0000	 2.5000
Ses01F_impro01_M001	fru	Let me see them.	2.5000	 2.0000	 2.5000
Ses01F_impro01_M002	fru	Who told you to get in this line?	2.0000	 3.5000	 3.5000
Ses01F_impro01_M003	fru	Okay. But I didn't tell you to get in this line if you are filling out this particular form.	2.5000	 3.5000	 3.5000
Ses01F_impro01_M004	fru	This form is a Z.X.four.	2.0000	 4.0000	 3.5000
Ses01F_impro01_M005	fru	You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.	2.0000	 3.5000	 3.5000
Ses01F_impro01_M006	fru	No. I need another set of ID to prove this is actually you.	2.0000	 3.5000	 3.5000
Ses01F_impro01_M007	fru	I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.	2.5000	 3.5000	 3.0000
Ses01F_impro01_M008	fru	No.  I need another ID, a separate one.	2.0000	 3.5000	 3.5000
Ses01F_impro01_M009	fru	A birth certificate, a passport...a student ID; didn't you go to school?  Anything?	2.5000	 3.5000	 4.0000
Ses01F_impro01_M010	fru	Yeah.  We keep it on file, but we need an ID to access that file.	2.0000	 4.5000	 4.0000
Ses01F_impro01_M011	ang	I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.	2.0000	 4.0000	 4.0000
Ses01F_impro01_M012	xxx	Actually too long.	3.0000	 1.5000	 2.0000
Ses01F_impro01_M013	ang	Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.	2.0000	 4.5000	 4.5000
Ses01F_impro02_F000	sad	Did you get the mail? So you saw my letter?	2.5000	 2.0000	 1.5000
Ses01F_impro02_F001	sad	Yeah.  I know.	2.0000	 1.5000	 1.5000
Ses01F_impro02_F002	sad	I don't know.  I put in that. request too. They didn't...	2.0000	 1.5000	 1.5000
Ses01F_impro02_F003	neu	I guess, you know, everybody has to make sacrifices.	2.0000	 2.0000	 2.0000
Ses01F_impro02_F004	sad	There's people that have given more though, you know?	2.5000	 2.0000	 2.5000
Ses01F_impro02_F005	sad	I know.	2.0000	 2.0000	 2.5000
Ses01F_impro02_F006	neu	There's babies over there, though, that need mothers.	2.5000	 2.5000	 2.5000
Ses01F_impro02_F007	xxx	I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.	2.0000	 3.5000	 3.0000
Ses01F_impro02_F008	sad	Just, you know, kicking myself.	1.5000	 2.0000	 1.5000
Ses01F_impro02_F009	xxx	like you sign up because you need money and	1.5000	 1.5000	 2.0000
Ses01F_impro02_F010	sad	things just aren't what they seem.	2.0000	 1.5000	 2.0000
Ses01F_impro02_F011	xxx	We're doing the right thing, though.	2.5000	 2.5000	 2.5000
Ses01F_impro02_F012	sad	If not me then, who?	3.5000	 2.0000	 1.5000
Ses01F_impro02_F013	sad	You'll videotape everything, yeah?	1.5000	 2.0000	 2.0000
Ses01F_impro02_F014	sad	Maybe you can send it to me, like stream it, yeah?	1.5000	 2.0000	 2.0000
Ses01F_impro02_F015	sad	Last month--  Yeah.	2.0000	 2.5000	 2.5000
Ses01F_impro02_F016	neu	I have to find sitters.	2.0000	 1.0000	 2.5000
Ses01F_impro02_F017	sad	We've got friends, that's why we moved here, huh?  Because there is a day care down the street.	3.5000	 3.0000	 2.5000
Ses01F_impro02_F018	neu	And your mother is close by.	2.5000	 2.5000	 2.5000
Ses01F_impro02_F019	sad	I'll send you lots of letters.	2.5000	 1.5000	 2.0000
Ses01F_impro02_F020	sad	And I want lots and lots and lots of pictures.	4.0000	 2.0000	 2.5000
Ses01F_impro02_M000	xxx	It's not fair.	2.0000	 2.5000	 2.5000
Ses01F_impro02_M001	sad	I don't understand.  You've already done so much, I don't know why do you have to go back.	2.0000	 2.5000	 2.5000
Ses01F_impro02_M002	xxx	I don't know, it's just not fair.  I think you've already made your sacrifice.	2.5000	 3.0000	 2.5000
Ses01F_impro02_M003	fru	I just don't see how they can make you leave when you have a new baby - we have a new kid.	2.0000	 3.0000	 3.0000
Ses01F_impro02_M004	xxx	Then why is that fair?  Why--	2.0000	 3.0000	 2.0000
Ses01F_impro02_M005	sad	I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.	2.0000	 3.0000	 1.5000
Ses01F_impro02_M006	xxx	I'm just trying to think of another way.  I'm just trying to...	2.0000	 3.0000	 1.5000
Ses01F_impro02_M007	xxx	This is a stupid war.	2.0000	 3.0000	 2.5000
Ses01F_impro02_M008	fru	I know.	2.5000	 1.5000	 2.0000
Ses01F_impro02_M009	sad	I just don't see why it has to be you.	2.0000	 1.5000	 2.5000
Ses01F_impro02_M010	sad	What am I going to do? Huh?	2.0000	 2.0000	 1.5000
Ses01F_impro02_M011	sad	Yeah.	2.5000	 1.5000	 2.5000
Ses01F_impro02_M012	neu	Don't you guys have access to computers over there.	2.5000	 2.0000	 2.0000
Ses01F_impro02_M013	sad	I just don't know how I'm going to do it without you.	1.5000	 2.0000	 2.0000
Ses01F_impro02_M014	sad	I can't raise a baby by myself.  How?	1.5000	 3.0000	 1.5000
Ses01F_impro02_M015	neu	I know.	3.0000	 3.0000	 1.5000
Ses01F_impro02_M016	fru	It's just not fair.	2.0000	 1.5000	 2.5000
Ses01F_impro03_F000	hap	Well Vegas was awesome.	4.3333	 2.6667	 2.6667
Ses01F_impro03_F001	hap	And, um, I got married.	4.0000	 2.6667	 2.6667
Ses01F_impro03_F002	hap	Yeah.  In the old town part.	4.3333	 3.0000	 2.3333
Ses01F_impro03_F003	xxx	Chuck. [LAUGHTER]	5.0000	 4.0000	 3.0000
Ses01F_impro03_F004	hap	Um- Yes.  It was very romantic.	4.6667	 3.6667	 2.3333
Ses01F_impro03_F005	hap	It was at the slot machines.	4.3333	 4.0000	 2.3333
Ses01F_impro03_F006	hap	Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.	4.0000	 3.3333	 2.6667
Ses01F_impro03_F007	xxx	Hey.  Let's get married and I said okay.	4.0000	 3.3333	 2.3333
Ses01F_impro03_F008	hap	Yeah.  Well.  You know, because he's leaving the next day.	4.0000	 3.3333	 2.3333
Ses01F_impro03_F009	hap	But we're going to have a honeymoon cruise.	4.0000	 2.6667	 2.3333
Ses01F_impro03_F010	hap	Oh.  I hadn't even thought about that.	4.0000	 3.3333	 3.0000
Ses01F_impro03_F011	xxx	He's not going to be a citizen, though.	4.0000	 3.0000	 2.3333
Ses01F_impro03_F012	hap	Oh.  Totally.	4.0000	 3.6667	 2.6667
Ses01F_impro03_F013	hap	I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]	5.0000	 4.0000	 3.3333
Ses01F_impro03_F014	xxx	I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.	4.0000	 3.3333	 2.3333
Ses01F_impro03_F015	exc	Yeah, so [LAUGHTER] He's calling me now	4.6667	 3.6667	 3.0000
Ses01F_impro03_F016	hap	He likes to keep tabs, you know.	4.0000	 3.0000	 2.3333
Ses01F_impro03_F017	neu	Uh, I think seven hundred and fifty dollars.	3.6667	 2.6667	 2.3333
Ses01F_impro03_F018	neu	Penny slots. That's what he plays.	3.6667	 3.0000	 2.0000
Ses01F_impro03_F019	neu	Yeah.	3.6667	 2.3333	 2.0000
Ses01F_impro03_F020	xxx	Oh.	3.6667	 3.0000	 2.3333
Ses01F_impro03_F021	hap	Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-	3.3333	 3.6667	 2.6667
Ses01F_impro03_F022	neu	Fifty bucks. Mmhmm.	3.3333	 2.6667	 2.0000
Ses01F_impro03_F023	neu	Yeah.	3.0000	 2.3333	 2.0000
Ses01F_impro03_F024	hap	Well so now we're married. We have cat children.	4.3333	 3.0000	 2.6667
Ses01F_impro03_F025	hap	We renamed Brenda, Lumber Janet.	4.3333	 3.3333	 3.3333
Ses01F_impro03_F026	hap	She needs a new name each state that we go into. [LAUGHTER]	4.6667	 4.0000	 3.0000
Ses01F_impro03_M000	neu	So what's up?  What's new?	4.0000	 3.0000	 2.6667
Ses01F_impro03_M001	neu	Yeah.  I heard.	4.3333	 2.6667	 2.3333
Ses01F_impro03_M002	sur	Shut up.  No- in Vegas?	4.3333	 3.3333	 2.6667
Ses01F_impro03_M003	exc	Who did you marry?	5.0000	 4.6667	 3.0000
Ses01F_impro03_M004	xxx	Did you propose to you?	4.6667	 4.0000	 2.3333
Ses01F_impro03_M005	xxx	Oh.  The Wheel of Fortune slots?	4.0000	 3.3333	 2.3333
Ses01F_impro03_M006	neu	He turned to you and was like...	4.0000	 2.6667	 2.3333
Ses01F_impro03_M007	hap	[LAUGHTER] That's really romantic.	4.0000	 3.0000	 2.3333
Ses01F_impro03_M008	neu	Yeah.	4.0000	 2.6667	 2.0000
Ses01F_impro03_M009	neu	Does that mean that you're going to get citizenship, too, in- in England or whatever?	3.6667	 2.3333	 2.3333
Ses01F_impro03_M010	xxx	Yeah.  Think about that.	4.0000	 3.3333	 3.0000
Ses01F_impro03_M011	neu	Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?	3.6667	 3.6667	 2.6667
Ses01F_impro03_M012	xxx	Oh, how are you going to do the long distance thing?  So wait, are you going to move there?	4.3333	 3.6667	 2.6667
Ses01F_impro03_M013	hap	Like you need another one of those.[LAUGHTER]	4.6667	 4.0000	 3.0000
Ses01F_impro03_M014	hap	Is that your phone?	4.3333	 3.6667	 2.6667
Ses01F_impro03_M015	hap	He loves you.	4.0000	 3.0000	 2.6667
Ses01F_impro03_M016	neu	How much did he win at the slot?	3.6667	 2.6667	 2.6667
Ses01F_impro03_M017	sur	Really? Penny slots?	3.6667	 3.6667	 2.3333
Ses01F_impro03_M018	sur	Wow.	3.0000	 2.6667	 2.6667
Ses01F_impro03_M019	neu	I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.	3.0000	 3.0000	 2.3333
Ses01F_impro03_M020	neu	But the pennies always get you because you end up spending like, you know, fifty bucks.	3.3333	 3.0000	 2.6667
Ses01F_impro03_M021	neu	like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.	3.0000	 3.3333	 2.6667
Ses01F_impro03_M022	exc	Awesome.	4.0000	 3.3333	 2.6667
Ses01F_impro03_M023	hap	[LAUGHTER] Cat babies.	4.6667	 4.3333	 3.6667
Ses01F_impro03_M024	neu	That's fair enough.	3.6667	 2.6667	 2.3333
Ses01F_impro04_F000	neu	Uh, what?  Craig's List?  Oh the internet thing?	3.0000	 3.0000	 3.0000
Ses01F_impro04_F001	neu	I don't know.  Isn't that-- that's all like escort services and things like that.	2.5000	 2.5000	 3.0000
Ses01F_impro04_F002	fru	I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.	2.5000	 3.5000	 3.0000
Ses01F_impro04_F003	xxx	What kind of a job?	2.5000	 3.0000	 2.5000
Ses01F_impro04_F004	xxx	Really?	2.5000	 2.5000	 2.0000
Ses01F_impro04_F005	neu	He just...	3.0000	 2.0000	 2.5000
Ses01F_impro04_F006	neu	you know what?  I heard about that job.  I applied for that.	3.0000	 3.5000	 3.5000
Ses01F_impro04_F007	fru	Yeah.  I saw a posting at the theatre.	3.0000	 3.5000	 4.0000
Ses01F_impro04_F008	xxx	He got it?	2.0000	 3.5000	 3.5000
Ses01F_impro04_F009	neu	Yeah.	2.5000	 2.5000	 2.5000
Ses01F_impro04_F010	xxx	What did he do?  What was so great?  I don't understand why they would pick him over me.	2.0000	 3.5000	 3.0000
Ses01F_impro04_F011	xxx	A resume?	2.5000	 3.0000	 3.0000
Ses01F_impro04_F012	xxx	No.	2.5000	 2.5000	 4.0000
Ses01F_impro04_F013	neu	I just- I mean I call people up and I tell them what I'm good at.	3.0000	 3.5000	 3.5000
Ses01F_impro04_F014	neu	Yeah.	2.5000	 3.0000	 2.5000
